Date,Location,Crime_Type,Reported_Incidents
2018-01-01,Zone A,Burglary,6
2018-01-02,Zone A,Vandalism,2
2018-01-03,Zone A,Theft,5
2018-01-04,Zone A,Burglary,2
2018-01-05,Zone A,Burglary,6
2018-01-06,Zone A,Vandalism,3
2018-01-07,Zone A,Theft,5
2018-01-08,Zone A,Theft,2
2018-01-09,Zone A,Burglary,6
2018-01-10,Zone A,Assault,6
2018-01-11,Zone A,Burglary,7
2018-01-12,Zone A,Burglary,6
2018-01-13,Zone A,Burglary,6
2018-01-14,Zone A,Burglary,4
2018-01-15,Zone A,Vandalism,4
2018-01-16,Zone A,Theft,7
2018-01-17,Zone A,Vandalism,5
2018-01-18,Zone A,Vandalism,5
2018-01-19,Zone A,Vandalism,8
2018-01-20,Zone A,Burglary,4
2018-01-21,Zone A,Assault,2
2018-01-22,Zone A,Theft,3
2018-01-23,Zone A,Assault,4
2018-01-24,Zone A,Vandalism,6
2018-01-25,Zone A,Vandalism,9
2018-01-26,Zone A,Assault,3
2018-01-27,Zone A,Assault,5
2018-01-28,Zone A,Assault,3
2018-01-29,Zone A,Vandalism,2
2018-01-30,Zone A,Vandalism,4
2018-01-31,Zone A,Theft,9
2018-02-01,Zone A,Theft,4
2018-02-02,Zone A,Vandalism,5
2018-02-03,Zone A,Assault,8
2018-02-04,Zone A,Assault,8
2018-02-05,Zone A,Theft,5
2018-02-06,Zone A,Vandalism,3
2018-02-07,Zone A,Theft,9
2018-02-08,Zone A,Theft,2
2018-02-09,Zone A,Burglary,8
2018-02-10,Zone A,Burglary,7
2018-02-11,Zone A,Burglary,6
2018-02-12,Zone A,Assault,9
2018-02-13,Zone A,Vandalism,3
2018-02-14,Zone A,Vandalism,6
2018-02-15,Zone A,Vandalism,7
2018-02-16,Zone A,Vandalism,7
2018-02-17,Zone A,Burglary,5
2018-02-18,Zone A,Assault,5
2018-02-19,Zone A,Assault,1
2018-02-20,Zone A,Burglary,7
2018-02-21,Zone A,Assault,4
2018-02-22,Zone A,Burglary,7
2018-02-23,Zone A,Vandalism,5
2018-02-24,Zone A,Burglary,5
2018-02-25,Zone A,Vandalism,3
2018-02-26,Zone A,Vandalism,5
2018-02-27,Zone A,Theft,5
2018-02-28,Zone A,Burglary,4
2018-03-01,Zone A,Theft,3
2018-03-02,Zone A,Burglary,3
2018-03-03,Zone A,Burglary,5
2018-03-04,Zone A,Theft,10
2018-03-05,Zone A,Theft,2
2018-03-06,Zone A,Burglary,5
2018-03-07,Zone A,Assault,3
2018-03-08,Zone A,Vandalism,4
2018-03-09,Zone A,Theft,6
2018-03-10,Zone A,Vandalism,3
2018-03-11,Zone A,Assault,4
2018-03-12,Zone A,Assault,4
2018-03-13,Zone A,Assault,5
2018-03-14,Zone A,Theft,8
2018-03-15,Zone A,Assault,5
2018-03-16,Zone A,Theft,6
2018-03-17,Zone A,Assault,3
2018-03-18,Zone A,Vandalism,4
2018-03-19,Zone A,Vandalism,5
2018-03-20,Zone A,Burglary,6
2018-03-21,Zone A,Vandalism,7
2018-03-22,Zone A,Burglary,5
2018-03-23,Zone A,Vandalism,2
2018-03-24,Zone A,Theft,6
2018-03-25,Zone A,Vandalism,4
2018-03-26,Zone A,Burglary,2
2018-03-27,Zone A,Burglary,4
2018-03-28,Zone A,Assault,2
2018-03-29,Zone A,Theft,3
2018-03-30,Zone A,Vandalism,4
2018-03-31,Zone A,Assault,7
2018-04-01,Zone A,Vandalism,5
2018-04-02,Zone A,Vandalism,5
2018-04-03,Zone A,Assault,7
2018-04-04,Zone A,Assault,9
2018-04-05,Zone A,Assault,7
2018-04-06,Zone A,Assault,6
2018-04-07,Zone A,Assault,6
2018-04-08,Zone A,Vandalism,9
2018-04-09,Zone A,Assault,2
2018-04-10,Zone A,Theft,3
2018-04-11,Zone A,Burglary,9
2018-04-12,Zone A,Assault,3
2018-04-13,Zone A,Assault,8
2018-04-14,Zone A,Vandalism,5
2018-04-15,Zone A,Assault,4
2018-04-16,Zone A,Assault,9
2018-04-17,Zone A,Assault,2
2018-04-18,Zone A,Vandalism,5
2018-04-19,Zone A,Assault,10
2018-04-20,Zone A,Burglary,5
2018-04-21,Zone A,Vandalism,4
2018-04-22,Zone A,Burglary,7
2018-04-23,Zone A,Vandalism,3
2018-04-24,Zone A,Assault,6
2018-04-25,Zone A,Burglary,3
2018-04-26,Zone A,Vandalism,3
2018-04-27,Zone A,Theft,4
2018-04-28,Zone A,Assault,1
2018-04-29,Zone A,Vandalism,2
2018-04-30,Zone A,Theft,4
